No	type	Name
6020	Fossil	ankylo skull
6021	Fossil	ankylo torso
6022	Fossil	ankylo tail
6023	Fossil	archelon skull
6024	Fossil	archelon tail
6025	Fossil	megacero skull
6026	Fossil	megacero torso
6027	Fossil	megacero tail
6028	Fossil	dimetrodon skull
6029	Fossil	dimetrodon torso
6030	Fossil	iguanodon skull
6031	Fossil	iguanodon torso
6032	Fossil	iguanodon tail
6033	Fossil	ophthalmo skull
6034	Fossil	ophthalmo torso
6035	Fossil	mammoth skull
6036	Fossil	mammoth torso
6037	Fossil	pachysaurus skull
6038	Fossil	pachysaurus tail
6039	Fossil	parasaur skull
6040	Fossil	parasaur torso
6041	Fossil	parasaur tail
6042	Fossil	ptera body
6043	Fossil	right ptera wing
6044	Fossil	left ptera wing
6045	Fossil	deinony torso
6046	Fossil	deinony tail
6047	Fossil	sabertooth skull
6048	Fossil	sabertooth tail
6049	Fossil	diplo skull
6050	Fossil	diplo neck
6051	Fossil	diplo chest
6052	Fossil	diplo pelvis
6053	Fossil	diplo tail
6054	Fossil	spino skull
6055	Fossil	spino torso
6056	Fossil	spino tail
6057	Fossil	stego skull
6058	Fossil	stego torso
6059	Fossil	stego tail
6060	Fossil	plesio skull
6061	Fossil	plesio body
6062	Fossil	plesio tail
6063	Fossil	T. rex skull
6064	Fossil	T. rex torso
6065	Fossil	T. rex tail
6066	Fossil	tricera skull
6067	Fossil	tricera torso
6068	Fossil	tricera tail
6069	Fossil	amber
6070	Fossil	ammonite
6071	Fossil	coprolite
6072	Fossil	archaeopteryx
6073	Fossil	dinosaur track
6074	Fossil	australopith
6075	Fossil	shark-tooth pattern
6076	Fossil	trilobite
6077	Fossil	fossil
6078	Fossil	anomalocaris
6079	Fossil	right megalo side
6080	Fossil	left megalo side
6081	Fossil	dunkleosteus
6082	Fossil	myllokunmingia
6083	Fossil	eusthenopteron
6084	Fossil	acanthostega
6085	Fossil	juramaia
6086	Fossil	brachio skull
6087	Fossil	brachio chest
6088	Fossil	brachio pelvis
6089	Fossil	brachio tail
6090	Fossil	quetzal torso
6091	Fossil	right quetzal wing
6092	Fossil	left quetzal wing
6093	Fossil	diplo tail tip
8859	painting	scenic painting
8861	painting	graceful painting
8863	painting	quaint painting
8865	painting	basic painting
8867	painting	famous painting
8868	painting	perfect painting
8870	painting	serene painting
8872	painting	wistful painting
8874	painting	moving painting
8875	painting	warm painting
8876	painting	dynamic painting
8878	painting	jolly painting
8879	painting	common painting
8880	painting	proper painting
8881	painting	nice painting
8882	painting	flowery painting
8883	painting	moody painting
8885	painting	amazing painting
8887	painting	scary painting
8888	painting	worthy painting
8890	painting	solemn painting
8892	painting	wild painting right half
8893	painting	calm painting
8894	statue	motherly statue
8896	statue	gallant statue
8898	statue	robust statue
8900	statue	ancient statue
8902	statue	great statue
8903	statue	beautiful statue
8905	statue	mystic statue
8907	statue	valiant statue
8909	statue	rock-head statue
8911	statue	informative statue
8913	statue	tremendous statue
8915	statue	warrior statue
8917	statue	familiar statue
8918	painting	wild painting left half
8920	painting	twinkling painting
8921	painting	academic painting
8923	painting	sinking painting
8924	painting	detailed painting
8926	painting	glowing painting
8927	painting	mysterious painting
8860	fake painting	graceful painting
8862	fake painting	quaint painting
8864	fake painting	basic painting
8866	fake painting	famous painting
8869	fake painting	serene painting
8871	fake painting	wistful painting
8873	fake painting	moving painting
8877	fake painting	jolly painting
8884	fake painting	amazing painting
8886	fake painting	scary painting
8889	fake painting	solemn painting
8891	fake painting	wild painting right half
8895	fake statue	motherly statue
8897	fake statue	gallant statue
8899	fake statue	robust statue
8901	fake statue	ancient statue
8904	fake statue	beautiful statue
8906	fake statue	mystic statue
8908	fake statue	valiant statue
8910	fake statue	rock-head statue
8912	fake statue	informative statue
8914	fake statue	tremendous statue
8916	fake statue	warrior statue
8919	fake painting	wild painting left half
8922	fake painting	academic painting
8925	fake painting	detailed painting
8928	fake painting	scenic painting
