No	type	Name
7212	栅栏	砖块栅栏
7213	栅栏	直条木板栅栏
7214	栅栏	竹栅栏
7215	栅栏	横条木板栅栏
7216	栅栏	圆木栅栏
7217	栅栏	钉子与绳索
7218	栅栏	东方风栅栏
7219	栅栏	干稻草栅栏
7220	栅栏	铁栅栏
7221	栅栏	尖刺栅栏
7222	栅栏	石砌铁艺栅栏
7223	栅栏	和风栅栏
7224	栅栏	石栅栏
7225	栅栏	有刺铁丝网
7226	栅栏	朴素木制栅栏
7227	栅栏	交叉格栅
7228	栅栏	コミューン島専用柵
7229	栅栏	复活节栅栏
8958	栅栏	树篱
8959	栅栏	婚礼栅栏
6380	摆设类	学步推车
6381	摆设类	木马
6382	摆设类	铁道模型
6383	摆设类	大象溜滑梯
6384	摆设类	套圈圈
6385	摆设类	青苔球
6386	摆设类	招财猫
6387	摆设类	多肉植物
6388	摆设类	人孔盖
6389	摆设类	三角锥
6390	摆设类	健身脚踏车
6391	摆设类	跑步机
6392	摆设类	烤肉炉
6393	摆设类	小鸟水盆
6394	摆设类	鸟巢屋
6395	摆设类	雄火烈鸟
6396	摆设类	雌火烈鸟
6397	摆设类	割草机
6398	摆设类	火把
6399	摆设类	木吉他
6400	摆设类	草丛道具
6401	摆设类	树丛道具
6402	摆设类	假山道具
6403	摆设类	假树道具
6404	摆设类	身高尺
6405	摆设类	沙滩躺椅
6406	摆设类	消波块
6407	摆设类	刨冰机
6408	摆设类	乌克丽丽
6409	摆设类	石灯笼
6410	摆设类	竹流水造景
6411	摆设类	飞旋镖
6412	摆设类	瓶中船
6413	摆设类	达拉木马
6414	摆设类	五重塔
6415	摆设类	纸老虎
6416	摆设类	草裙舞娃娃
6417	摆设类	自由女神像
6418	摆设类	摩艾石像
6419	摆设类	比萨斜塔
6420	摆设类	壁毯
6421	摆设类	竹长凳
6422	摆设类	屏风
6423	摆设类	炉灶厨房
6424	摆设类	地炉
6425	摆设类	烧水壶
6426	摆设类	方形纸罩座灯
6427	摆设类	常见庭院石
6428	摆设类	高耸庭院石
6429	摆设类	茶几
6430	摆设类	壁炉
6431	摆设类	磁带录音机
6432	摆设类	高级音响
6433	摆设类	点唱机
6434	摆设类	多媒体音响
6435	摆设类	留声机
6436	摆设类	复古立体音响
6437	摆设类	蘑菇灯
6438	摆设类	蘑菇桌
6439	摆设类	办公室椅子
6440	摆设类	置物柜
6441	摆设类	保险箱
6442	摆设类	办公室桌子
6443	摆设类	中音萨克斯风
6444	摆设类	扩音器
6445	摆设类	撞球桌
6446	摆设类	摇奖机
6447	摆设类	鸟笼
6448	摆设类	书挡
6449	摆设类	电源总开关
6450	摆设类	木制水桶
6451	摆设类	露营炉具
6452	摆设类	圣诞蜡烛
6453	摆设类	猫跳台
6454	摆设类	吸尘器
6455	摆设类	直立式吸尘器
6456	摆设类	布谷鸟钟
6457	摆设类	咖啡杯
6458	摆设类	咖啡磨豆机
6459	摆设类	厨房挂钩
6460	摆设类	空调
6461	摆设类	飞镖靶
6462	摆设类	DJ台
6463	摆设类	音效机柜
6464	摆设类	意式咖啡机
6465	摆设类	紧急逃生出口
6466	摆设类	换气扇
6467	摆设类	甜点自动贩卖机
6468	摆设类	水果篮
6469	摆设类	围棋桌
6470	摆设类	竖琴
6471	摆设类	线香盘
